Country_region,Density_P_Km2,Birth_Rate,Co2_Emissions,Life_expectancy,Out_of_pocket_health_expenditure
Peru,26,17.95,57414,76.5,30.90%
Philippines,368,20.55,122287,71.1,53.50%
Poland,124,10.2,299037,77.6,23.20%
Portugal,111,8.5,48742,81.3,27.70%
Qatar,248,9.54,103259,80.1,6.20%
Romania,84,9.6,69259,75.4,21.30%
Russia,9,11.5,1732027,72.7,36.40%
Rwanda,525,31.7,1115,68.7,26.00%
Saint Kitts and Nevis,205,12.6,238,71.3,56.60%
Saint Lucia,301,12,414,76.1,48.40%
Saint Vincent and the Grenadines,284,14.24,220,72.4,21.40%
Samoa,70,24.38,246,73.2,11.50%
San Marino,566,6.8,,85.4,18.30%
S�����������,228,31.54,121,70.2,11.70%
Saudi Arabia,16,17.8,563449,75,15.00%
Senegal,87,34.52,10902,67.7,44.20%
Serbia,100,9.2,45221,75.5,40.60%
Seychelles,214,17.1,605,72.8,2.50%
Sierra Leone,111,33.41,1093,54.3,38.20%
Singapore,8358,8.8,37535,83.1,36.70%
Slovakia,114,10.6,32424,77.2,18.40%
Slovenia,103,9.4,12633,81,12.50%
Solomon Islands,25,32.44,169,72.8,3.30%
Somalia,25,41.75,645,57.1,
South Africa,49,20.51,476644,63.9,7.70%
South Korea,527,6.4,620302,82.6,36.80%
South Sudan,18,35.01,1727,57.6,61.30%
Spain,94,7.9,244002,83.3,24.20%
Sri Lanka,341,15.83,23362,76.8,38.40%
Sudan,25,32.18,20000,65.1,63.20%
Suriname,4,18.54,1738,71.6,10.10%
Sweden,25,11.4,43252,82.5,15.20%
Switzerland,219,10,34477,83.6,28.30%
Syria,95,23.69,28830,71.8,53.70%
Tajikistan,68,30.76,5310,70.9,63.10%
Tanzania,67,36.7,11973,65,26.10%
Thailand,137,10.34,283763,76.9,11.80%
East Timor,89,29.42,495,69.3,10.20%
Togo,152,33.11,3000,60.8,51.00%
Tonga,147,24.3,128,70.8,10.20%
Trinidad and Tobago,273,12.94,43868,73.4,37.30%
Tunisia,76,17.56,29937,76.5,39.80%
Turkey,110,16.03,372725,77.4,16.90%
Turkmenistan,13,23.83,70630,68.1,71.10%
Tuvalu,393,,11,,0.70%
Uganda,229,38.14,5680,63,40.50%
Ukraine,75,8.7,202250,71.6,47.80%
United Arab Emirates,118,10.33,206324,77.8,17.80%
United Kingdom,281,11,379025,81.3,14.80%
United States,36,11.6,5006302,78.5,11.10%
Uruguay,20,13.86,6766,77.8,16.20%
Uzbekistan,79,23.3,91811,71.6,42.70%
Vanuatu,25,29.6,147,70.3,8.90%
Venezuela,32,17.88,164175,72.1,45.80%
Vietnam,314,16.75,192668,75.3,43.50%
Yemen,56,30.45,10609,66.1,81.00%
Zambia,25,36.19,5141,63.5,27.50%
Zimbabwe,38,30.68,10983,61.2,25.80%
